player_id,player,year,round,pick,position,school,last_name,first_name
23615,Alaa Abdelnaby,1990,1,25,PF,Duke,Abdelnaby,Alaa
23617,Tariq Abdul-Wahad,1997,1,11,SF,San Jose State,Abdul-Wahad,Tariq
23618,Shareef Abdur-Rahim,1996,1,3,F,California,Abdur-Rahim,Shareef
23620,Alex Acker,2005,2,60,G,Pepperdine,Acker,Alex
23621,Mark Acres,1985,2,40,F/C,Oral Roberts,Acres,Mark
23622,Quincy Acy,2012,2,37,PF,Baylor,Acy,Quincy
23623,Hassan Adams,2006,2,54,G,Arizona,Adams,Hassan
23624,Jordan Adams,2014,1,22,SG,UCLA,Adams,Jordan
23626,Steven Adams,2013,1,12,C,Pittsburgh,Adams,Steven
23627,Rafael Addison,1986,2,39,SF,Syracuse,Addison,Rafael
23628,Bam Adebayo,2017,1,14,PF/C,Kentucky,Adebayo,Bam
23630,Arron Afflalo,2007,1,27,SG,UCLA,Afflalo,Arron
23631,Maurice Ager,2006,1,28,G,Michigan State,Ager,Maurice
23632,Mark Aguirre,1981,1,1,G/F,DePaul,Aguirre,Mark
23634,Danny Ainge,1981,2,31,G/F,Brigham Young,Ainge,Danny
23637,Solomon Alabi,2010,2,50,C,Florida State,Alabi,Solomon
23638,Mark Alarie,1986,1,18,PF,Duke,Alarie,Mark
23639,Furkan Aldemir,2012,2,53,PF,Galatasaray,Aldemir,Furkan
23640,Cole Aldrich,2010,1,11,C,Kansas,Aldrich,Cole
23641,LaMarcus Aldridge,2006,1,2,PF,Texas,Aldridge,LaMarcus
23644,Cory Alexander,1995,1,29,PG,Virginia,Alexander,Cory
23645,Courtney Alexander,2000,1,13,SG,Fresno State,Alexander,Courtney
23647,Joe Alexander,2008,1,8,SF,West Virginia,Alexander,Joe
23648,Victor Alexander,1991,1,17,C,Iowa State,Alexander,Victor
23649,Steve Alford,1987,2,26,SG,Indiana,Alford,Steve
23650,Jarrett Allen,2017,1,22,C,Texas,Allen,Jarrett
23651,Jerome Allen,1995,2,49,G,Pennsylvania,Allen,Jerome
23652,Kadeem Allen,2017,2,53,SG,Arizona,Allen,Kadeem
23653,Lavoy Allen,2011,2,50,PF,Temple,Allen,Lavoy
23656,Ray Allen,1996,1,5,G,Connecticut,Allen,Ray
23657,Tony Allen,2004,1,25,SG,Oklahoma State,Allen,Tony
23660,Morris Almond,2007,1,25,SG,Rice,Almond,Morris
23661,Derrick Alston,1994,2,33,F,Duquesne,Alston,Derrick
23662,Rafer Alston,1998,2,39,PG,Fresno State,Alston,Rafer
23666,Al-Farouq Aminu,2010,1,8,SF,Wake Forest,Aminu,Al-Farouq
23669,David Andersen,2002,2,37,C,Virtus Bologna,Andersen,David
23672,Derek Anderson,1997,1,13,SG,Kentucky,Anderson,Derek
23673,Dwight Anderson,1982,2,41,G,USC,Anderson,Dwight
23677,James Anderson,2010,1,20,SG,Oklahoma State,Anderson,James
23678,Justin Anderson,2015,1,21,SF,Virginia,Anderson,Justin
23679,Kenny Anderson,1991,1,2,PG,Georgia Tech,Anderson,Kenny
23680,Kyle Anderson,2014,1,30,SF,UCLA,Anderson,Kyle
23682,Nick Anderson,1989,1,11,SF/SG,Illinois,Anderson,Nick
23683,Richard Anderson,1982,2,32,PF,UC Santa Barbara,Anderson,Richard
23684,Ron Anderson,1984,2,27,G/F,Fresno State,Anderson,Ron
23685,Ryan Anderson,2008,1,21,PF,California,Anderson,Ryan
23686,Shandon Anderson,1996,2,54,F,Georgia,Anderson,Shandon
23687,Willie Anderson,1988,1,10,SG,Georgia,Anderson,Willie
23689,Ike Anigbogu,2017,2,47,C,UCLA,Anigbogu,Ike
23690,Michael Ansley,1989,2,37,F,Alabama,Ansley,Michael
23691,Chris Anstey,1997,1,18,PF,SE Melbourne Magic,Anstey,Chris
23692,Giannis Antetokounmpo,2013,1,15,SF/PF,Filathlitikos,Antetokounmpo,Giannis
23693,Thanasis Antetokounmpo,2014,2,51,SF,Delaware 87ers,Antetokounmpo,Thanasis
23694,Carmelo Anthony,2003,1,3,SF,Syracuse,Anthony,Carmelo
23695,Greg Anthony,1991,1,12,PG,UNLV,Anthony,Greg
23698,OG Anunoby,2017,1,23,SF,Indiana,Anunoby,OG
23701,Robert Archibald,2002,2,32,PF,Illinois,Archibald,Robert
23703,Gilbert Arenas,2001,2,31,PG,Arizona,Arenas,Gilbert
23704,Trevor Ariza,2004,2,43,SF,UCLA,Ariza,Trevor
23707,Brandon Armstrong,2001,1,23,SG,Pepperdine,Armstrong,Brandon
23709,Hilton Armstrong,2006,1,12,C,Connecticut,Armstrong,Hilton
23711,Darrell Arthur,2008,1,27,PF,Kansas,Arthur,Darrell
23714,Vincent Askew,1987,2,39,SG/SF,Memphis State,Askew,Vincent
23717,Stacey Augmon,1991,1,9,SG/SF,UNLV,Augmon,Stacey
23719,James Augustine,2006,2,41,F,Illinois,Augustine,James
23720,Isaac Austin,1991,2,48,C,Arizona State,Austin,Isaac
23722,Anthony Avent,1991,1,15,PF,Seton Hall,Avent,Anthony
