year,round,pick,player,position,school,last name,first name
1980,1,1,Joe Barry Carroll,F/C,Purdue,Carroll,Joe Barry
1980,1,2,Darrell Griffith,G,Louisville,Griffith,Darrell
1980,1,3,Kevin McHale,F/C,Minnesota,McHale,Kevin
1980,1,4,Kelvin Ransey,G,Ohio State,Ransey,Kelvin
1980,1,5,James Ray,F,Jacksonville,Ray,James
1980,1,6,Mike O'Koren,G/F,North Carolina,O'Koren,Mike
1980,1,7,Mike Gminski,C,Duke,Gminski,Mike
1980,1,8,Andrew Toney,G,Southwestern Louisiana,Toney,Andrew
1980,1,9,Michael Brooks,F,La Salle,Brooks,Michael
1980,1,10,Ronnie Lester,G,Iowa,Lester,Ronnie
1980,1,11,Kiki Vandeweghe,F,UCLA,Vandeweghe,Kiki
1980,1,12,Mike Woodson,G/F,Indiana,Woodson,Mike
1980,1,13,Rickey Brown,F/C,Mississippi State,Brown,Rickey
1980,1,14,Wes Matthews,G,Wisconsin,Matthews,Wes
1980,1,15,Reggie Johnson,F/C,Tennessee,Johnson,Reggie
1980,1,16,Charles Whitney,G/F,NC State,Whitney,Charles
1980,1,17,Larry Drew,G,Missouri,Drew,Larry
1980,1,18,Don Collins,G/F,Washington State,Collins,Don
1980,1,19,John Duren,G,Georgetown,Duren,John
1980,1,20,Bill Hanzlik,G/F,Notre Dame,Hanzlik,Bill
1980,1,21,Monti Davis,F,Tennessee State,Davis,Monti
1980,1,22,Chad Kinch,G,UNC Charlotte,Kinch,Chad
1980,1,23,Carl Nicks,G,Indiana State,Nicks,Carl
1980,2,24,Larry Smith,F/C,Alcorn State,Smith,Larry
1980,2,25,Jeff Ruland,F/C,Iona,Ruland,Jeff
1980,2,26,Sam Worthen,F,Marquette,Worthen,Sam
1980,2,27,John Stroud,F,Mississippi,Stroud,John
1980,2,28,Craig Shelton,F,Georgetown,Shelton,Craig
1980,2,29,Louis Orr,F,Syracuse,Orr,Louis
1980,2,30,Kenny Natt,G,Northeast Louisiana,Natt,Kenny
1980,2,31,Wayne Robinson,F,Virginia Tech,Robinson,Wayne
1980,2,32,David Lawrence,F,McNeese State,Lawrence,David
1980,2,33,Bruce Collins,G/F,Weber State,Collins,Bruce
1980,2,34,Roosevelt Bouie,C,Syracuse,Bouie,Roosevelt
1980,2,35,Rick Mahorn,F/C,Hampton,Mahorn,Rick
1980,2,36,DeWayne Scales,F,LSU,Scales,DeWayne
1980,2,37,Butch Carter,G,Indiana,Carter,Butch
1980,2,38,Terry Stotts,F,Oklahoma,Stotts,Terry
1980,2,39,Michael Wiley,F,Long Beach State,Wiley,Michael
1980,2,40,Dick Miller,F,Toledo,Miller,Dick
1980,2,41,Jawann Oldham,C,Seattle,Oldham,Jawann
1980,2,42,Kimberly Belton,F,Stanford,Belton,Kimberly
1980,2,43,Billy Williams,G,Clemson,Williams,Billy
1980,2,44,Clyde Austin,G,NC State,Austin,Clyde
1980,2,45,Brad Branson,F/C,SMU,Branson,Brad
1980,2,46,Arnette Hallman,F,Purdue,Hallman,Arnette
1981,1,1,Mark Aguirre,G/F,DePaul,Aguirre,Mark
1981,1,2,Isiah Thomas,G,Indiana,Thomas,Isiah
1981,1,3,Buck Williams,F/C,Maryland,Williams,Buck
1981,1,4,Al Wood,G/F,North Carolina,Wood,Al
1981,1,5,Danny Vranes,F,Utah,Vranes,Danny
1981,1,6,Orlando Woolridge,F,Notre Dame,Woolridge,Orlando
1981,1,7,Steve Johnson,F/C,Oregon State,Johnson,Steve
1981,1,8,Tom Chambers,F/C,Utah,Chambers,Tom
1981,1,9,Rolando Blackman,G,Kansas State,Blackman,Rolando
1981,1,10,Albert King,G/F,Maryland,King,Albert
1981,1,11,Frank Johnson,G,Wake Forest,Johnson,Frank
1981,1,12,Kelly Tripucka,G/F,Notre Dame,Tripucka,Kelly
1981,1,13,Danny Schayes,F/C,Syracuse,Schayes,Danny
1981,1,14,Herb Williams,F/C,Ohio State,Williams,Herb
1981,1,15,Jeff Lamp,G/F,Virginia,Lamp,Jeff
1981,1,16,Darnell Valentine,G,Kansas,Valentine,Darnell
1981,1,17,Kevin Loder,G/F,Alabama State,Loder,Kevin
1981,1,18,Ray Tolbert,F,Indiana,Tolbert,Ray
1981,1,19,Mike McGee,G/F,Michigan,McGee,Mike
1981,1,20,Larry Nance,F/C,Clemson,Nance,Larry
1981,1,21,Alton Lister,F/C,Arizona State,Lister,Alton
1981,1,22,Franklin Edwards,G,Cleveland State,Edwards,Franklin
1981,1,23,Charles Bradley,G,Wyoming,Bradley,Charles
1981,2,24,Jay Vincent,F,Michigan State,Vincent,Jay
1981,2,25,Tracy Jackson,G/F,Notre Dame,Jackson,Tracy
1981,2,26,Brian Jackson,F,Utah State,Jackson,Brian
1981,2,27,Howard Wood,F,Tennessee,Wood,Howard
1981,2,28,Gene Banks,G/F,Duke,Banks,Gene
1981,2,29,Eddie Johnson,G/F,Illinois,Johnson,Eddie
