player_id,date_of_birth,city_of_birth,state_of_birth
25475,"July 9, 1957",Pennville,Indiana
24768,"November 6, 1981",San Marcos,Texas
25818,"January 8, 1991",Princeton,Kentucky
24182,"August 2, 1956",Brooklyn,New York
24270,"September 15, 1980",Brooklyn,New York
24868,"January 9, 1984",Charlotte,North Carolina
24834,"May 1, 1959",Atlanta,Georgia
24846,"March 14, 1969",Morganfield,Kentucky
23734,"May 21, 1957",Dublin,Georgia
23867,"May 18, 1956",Cleveland,Ohio
23882,"March 19, 1957",Baltimore,Maryland
24014,"July 30, 1957",Lodi,California
24096,"October 21, 1956",West Covina,California
24106,"December 20, 1955",Trenton,New Jersey
24113,"September 12, 1951",Pittsburg,California
24129,"January 4, 1957",Toledo,Ohio
24136,"July 11, 1956",Johnstown,Pennsylvania
24189,"June 10, 1957",Saginaw,Michigan
24197,"December 6, 1957",Tulare,California
24210,"June 27, 1957",Gary,Indiana
24263,"July 29, 1956",Royal Oak,Michigan
24329,"November 11, 1955",Port Arthur,Texas
24333,"April 19, 1955",Goldsboro,North Carolina
24430,"October 12, 1957",East Orange,New Jersey
24537,"May 27, 1957",Lynwood,California
24568,"July 20, 1957",Los Angeles,California
24643,"January 16, 1956",Richmond,Virginia
24643,"December 9, 1987",Richmond,Virginia
24667,"April 25, 1957",Birmingham,Alabama
24687,"December 6, 1956",Billings,Montana
24717,"December 13, 1956",Canton,Ohio
24740,"November 8, 1957",Brooklyn,New York
24797,"February 10, 1954",Bells,Tennessee
24825,"September 7, 1957",Corpus Christi,Texas
24858,"September 1, 1956",Brooklyn,New York
24889,"July 9, 1953",McGhee,Arkansas
24923,"September 17, 1957",Panama City,Florida
24938,"August 8, 1951",New York,New York
24939,"May 16, 1956",Bastrop,Louisiana
24949,"February 14, 1957",Birmingham,Alabama
24974,"October 2, 1956",Fulda,Minnesota
25020,"May 27, 1957",Muncie,Indiana
25092,"June 6, 1957",New York,New York
25116,"July 21, 1956",Cleveland,Ohio
25272,"January 3, 1957",Spokane,Washington
25273,"September 21, 1957",Little Rock,Arkansas
25352,"January 8, 1957",Monroe,Louisiana
25389,"February 18, 1957",Jackson,Mississippi
25484,"September 15, 1957",Montgomery,Alabama
25487,"October 2, 1951",Wilmington,North Carolina
25619,"August 7, 1956",Seattle,Washington
25647,"March 13, 1960",Oakland,California
25853,"June 28, 1957",Jersey City,New Jersey
26005,"July 14, 1956",Yonkers,New York
26198,"August 2, 1956",Demopolis,Alabama
26236,"January 26, 1958",New Haven,Connecticut
26244,"August 7, 1955",Gastonia,North Carolina
26312,"October 1, 1957",New Orleans,Louisiana
23659,"September 12, 1958",Los Angeles,California
23824,"November 12, 1957",Baltimore,Maryland
23903,"August 29, 1958",New York,New York
23911,"August 17, 1958",Philadelphia,Pennsylvania
23937,"August 20, 1958",Madison County,Mississippi
24008,"June 11, 1958",Springfield,Ohio
24011,"October 10, 1957",New York,New York
24071,"April 14, 1954",Sandersville,Georgia
24072,"November 28, 1958",Christopher,Illinois
24095,"August 6, 1958",Los Angeles,California
24143,"September 3, 1957",Detroit,Michigan
24183,"July 26, 1958",Warren,Ohio
24235,"August 16, 1957",Heacham,United Kingdom
24254,"April 2, 1958",Kansas City,Kansas
24254,"March 5, 1990",Kansas City,Kansas
24258,"April 20, 1954",La Mesa,California
24274,"October 30, 1958",Washington,District of Columbia
24412,"September 4, 1958",Detroit,Michigan
24436,"July 11, 1956",Parsons,Tennessee
24476,"August 3, 1959",Monroe,Connecticut
24545,"June 16, 1958",Louisville,Kentucky
24582,"December 6, 1957",Middletown,Ohio
24588,"May 25, 1957",Detroit,Michigan
24593,"December 9, 1957",Chicago,Illinois
24700,"January 8, 1957",Montgomery,Alabama
24779,"January 17, 1958",Brooklyn,New York
24847,"June 16, 1957",Plummerville,Arkansas
24852,"June 25, 1957",Atlanta,Georgia
24882,"June 17, 1956",Fort Rucker,Alabama
24905,"February 19, 1956",Perry,Alabama
24918,"February 2, 1959",Wilmington,North Carolina
24943,"May 22, 1958",Perth Amboy,New Jersey
24976,"January 4, 1957",Neenah,Wisconsin
24990,"May 19, 1957",Boston,Massachusetts
25015,"December 8, 1952",Lake Charles,Louisiana
25039,"January 1, 1959",Canton,Mississippi
25100,"April 9, 1957",Fort Wayne,Indiana
25109,"September 21, 1958",Hartford,Connecticut
25152,"August 24, 1959",Sarasota,Florida
25160,"October 17, 1957",Detroit,Michigan
25179,"June 22, 1957",Birmingham,Alabama
25246,"April 26, 1958",Milwaukee,Wisconsin
25283,"March 3, 1958",Altoona,Pennsylvania
25284,"May 5, 1957",Plymouth,South Carolina
25353,"October 5, 1958",Monroe,Louisiana
25376,"October 6, 1958",Chicago,Illinois
25377,"March 31, 1955",Los Angeles,California
25403,"February 7, 1958",Jersey City,New Jersey
25422,"July 4, 1957",Chicago,Illinois
25431,"May 7, 1958",Cincinnati,Ohio
25467,"November 19, 1954",Macon,Georgia
25560,"January 5, 1957",Bronx,New York
25589,"March 1, 1958",Fort Ord,California
25590,"May 3, 1958",Toledo,Ohio
25596,"July 27, 1957",New Orleans,Louisiana
25605,"September 10, 1957",New York,New York
25660,"April 19, 1958",Greensboro,North Carolina
25668,"November 13, 1958",South Gate,California
25728,"December 28, 1958",Dallas,Texas
25766,"May 1, 1957",Washington,District of Columbia
25775,"November 29, 1956",Martinsville,Indiana
25830,"January 18, 1958",Rolling Fork,Mississippi
25855,"June 12, 1958",Suffolk,Virginia
25904,"October 29, 1957",New Albany,Mississippi
25950,"June 22, 1956",Lexington,North Carolina
26002,"November 23, 1957",Birmingham,Alabama
26048,"November 27, 1957",Norfolk,Virginia
26052,"August 1, 1958",Wiesbaden,Germany
26080,"December 25, 1955",Hollywood,California
26172,"June 22, 1957",Brooklyn,New York
26179,"October 16, 1957",Long Beach,California
26181,"April 1, 1958",Berkeley,California
26186,"March 9, 1955",Chicago,Illinois
26274,"March 24, 1958",Indianapolis,Indiana
26278,"January 17, 1958",Brooklyn,New York
23632,"December 10, 1959",Chicago,Illinois
23634,"March 17, 1959",Eugene,Oregon
23733,"April 23, 1958",Birmingham,Alabama
23746,"May 15, 1959",Philadelphia,Pennsylvania
23826,"February 26, 1959",Panama City,Panama
23843,"September 23, 1958",Valdosta,Georgia
23879,"October 30, 1959",Utica,Mississippi
23881,"May 16, 1959",Havre De Grace,Maryland
23893,"September 24, 1958",Harvey,Illinois
23905,"February 24, 1958",Ardmore,Pennsylvania
23959,"May 22, 1958",Indianapolis,Indiana
23963,"July 3, 1958",Dallas,Texas
24020,"August 17, 1958",Huntsville,Alabama
