player_id,year_start,year_end,height,weight
23615,1991,1995,6-10,240.0
23616,1991,2001,6-1,162.0
23617,1998,2003,6-6,223.0
23618,1997,2008,6-9,225.0
23619,2017,2018,6-6,190.0
23620,2006,2009,6-5,185.0
23621,1988,1993,6-11,220.0
23622,2013,2018,6-7,240.0
23623,2007,2009,6-4,220.0
23624,2015,2016,6-5,209.0
23625,1986,1996,5-10,162.0
23626,2014,2018,7-0,255.0
23627,1987,1997,6-7,215.0
23628,2018,2018,6-10,243.0
23629,2011,2015,6-7,245.0
23630,2008,2018,6-5,210.0
23631,2007,2011,6-5,202.0
23632,1982,1994,6-6,232.0
23633,2008,2012,6-2,190.0
23634,1982,1995,6-4,175.0
23635,2009,2017,7-2,248.0
23636,2013,2013,5-11,185.0
23637,2011,2012,7-1,251.0
23638,1987,1991,6-8,217.0
23639,2015,2015,6-10,240.0
23640,2011,2018,6-11,250.0
23641,2007,2018,6-11,260.0
23642,1985,1985,6-11,260.0
23643,2016,2016,6-8,245.0
23644,1996,2005,6-1,185.0
23645,2001,2003,6-5,205.0
23646,1994,1994,6-7,240.0
23647,2009,2010,6-8,230.0
23648,1992,2002,6-9,265.0
23649,1988,1991,6-2,183.0
23650,2018,2018,6-10,234.0
23651,1996,1997,6-4,184.0
23652,2018,2018,6-3,192.0
23653,2012,2017,6-9,260.0
23654,2002,2011,6-10,255.0
23655,1989,1990,6-8,220.0
23656,1997,2014,6-5,205.0
23657,2005,2018,6-4,213.0
23658,2008,2008,6-11,250.0
23659,1981,1981,6-9,220.0
23660,2008,2012,6-6,225.0
23661,1995,1997,6-11,225.0
23662,2000,2010,6-2,171.0
23663,1999,1999,6-10,260.0
23664,1996,2003,6-10,270.0
23665,1996,1997,6-8,230.0
23666,2011,2018,6-9,220.0
23667,2007,2016,6-9,220.0
23668,2002,2017,6-10,245.0
23669,2010,2011,6-11,245.0
23670,2006,2017,6-6,220.0
23671,2010,2010,6-6,215.0
23672,1998,2008,6-5,194.0
23673,1983,1983,6-3,185.0
23674,1993,1994,6-9,220.0
23675,1988,1998,6-10,230.0
23676,1983,1985,6-8,195.0
23677,2011,2016,6-6,213.0
23678,2016,2018,6-6,228.0
23679,1992,2005,6-0,168.0
23680,2015,2018,6-9,230.0
23681,1989,1989,5-11,184.0
23682,1990,2002,6-6,205.0
23683,1983,1990,6-10,240.0
23684,1985,1994,6-7,215.0
23685,2009,2018,6-10,240.0
23686,1997,2006,6-6,208.0
23687,1989,1997,6-7,190.0
23688,2006,2006,7-2,240.0
