,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
0,A.J. English,2013,2016,95,3484,572,1349,288,584,284,765,457,574,63,382,445,488,126,46,321,1885,10263
1,Aaron Brooks,2006,2007,35,1289,213,463,133,265,80,198,115,136,31,118,149,149,48,6,89,621,9575
2,Aaron Harrison,2013,2014,40,1303,174,411,112,237,62,174,139,176,25,93,118,74,43,12,65,549,10767
3,Acie Law,2006,2007,34,1153,216,432,178,349,38,83,144,185,8,105,113,169,39,1,88,614,11442
4,Adam Morrison,2004,2006,64,2264,532,1071,421,779,111,292,340,443,90,263,353,144,54,25,128,1515,11940
5,Al Thornton,2006,2007,35,1092,244,460,208,379,36,81,166,210,106,145,251,24,53,40,87,690,13117
6,Alan Williams,2013,2014,28,872,224,420,224,420,0,0,148,216,106,216,322,33,33,67,59,596,13453
7,Alando Tucker,2005,2007,67,2215,478,1035,421,844,57,191,291,482,153,220,373,126,52,17,123,1304,13173
8,Alec Burks,2010,2011,38,1193,251,535,223,439,28,96,249,302,91,156,247,112,41,12,99,779,9656
9,Alec Peters,2014,2017,100,3244,636,1309,404,764,232,545,411,478,231,601,832,155,73,33,183,1915,12277
10,Allan Ray,2003,2006,67,2242,389,941,195,431,194,510,226,270,40,210,250,152,70,10,148,1198,12425
11,Allen Crabbe,2012,2013,33,1195,215,468,151,284,64,184,113,139,33,167,200,87,37,23,83,607,9921
12,Andre Emmett,2001,2004,100,3565,799,1555,763,1444,36,111,407,574,224,439,663,173,148,39,202,2041,10259
13,Andre Owens,2004,2005,32,1114,195,485,95,205,100,280,95,132,46,109,155,67,42,5,61,585,12170
14,Andrew Bogut,2004,2005,35,1224,281,453,272,428,9,25,144,208,130,297,427,82,34,65,96,715,9467
15,Andrew Goudelock,2008,2011,107,3632,789,1734,466,949,323,785,236,283,68,313,381,355,97,31,256,2137,10560
16,Andrew Nicholson,2010,2012,63,2011,457,800,428,724,29,76,293,397,135,359,494,65,38,108,179,1236,12057
17,Andrew Wiggins,2013,2014,35,1148,189,422,146,296,43,126,176,227,76,129,205,54,41,34,80,597,13429
18,Anthony Bennett,2012,2013,35,950,202,379,166,283,36,96,124,177,86,199,285,34,24,43,65,564,9390
19,Anthony Brown,2014,2015,37,1320,176,408,97,229,79,179,116,146,42,214,256,94,28,7,72,547,9582
20,Anthony Davis,2011,2012,40,1281,210,337,207,317,3,20,144,203,119,296,415,50,54,186,41,567,10002
21,Anthony Grundy,2001,2002,34,1102,219,451,172,315,47,136,121,158,53,133,186,120,70,5,75,606,10652
22,Anthony Johnson,2009,2010,66,2155,392,778,347,674,45,104,332,438,180,256,436,112,65,86,152,1161,11091
23,Anthony Roberson,2003,2005,60,1888,373,813,180,338,193,475,160,182,30,124,154,185,56,6,122,1099,12507
24,Antoine Wright,2004,2005,31,1052,193,385,122,226,71,159,96,139,51,134,185,69,36,22,75,553,13592
25,Antonius Cleveland,2016,2017,33,1086,208,383,180,310,28,73,105,159,28,141,169,73,47,30,66,549,9825
26,Arron Afflalo,2005,2007,75,2489,413,895,243,436,170,459,230,286,47,216,263,139,46,13,143,1226,9127
27,Ben Bentil,2015,2016,35,1198,246,533,194,375,52,158,194,248,94,174,268,40,30,36,67,738,9400
28,Ben Gordon,2002,2004,72,2447,450,1027,266,596,184,431,284,347,63,259,322,332,91,13,221,1368,10553
29,Ben Hansbrough,2010,2011,34,1202,194,405,107,205,87,200,150,184,25,106,131,145,41,4,81,625,10716
30,Ben McLemore,2012,2013,37,1191,198,400,125,226,73,174,120,138,47,145,192,73,37,25,77,589,11777
31,Ben Simmons,2015,2016,33,1151,216,386,215,383,1,3,199,297,103,285,388,158,65,27,111,632,12783
32,Ben Uzoh,2007,2008,39,1258,208,426,153,269,55,157,137,170,64,148,212,88,39,29,92,608,13211
33,Blake Griffin,2008,2009,35,1165,300,459,297,451,3,8,191,324,135,369,504,80,39,41,116,794,10637
34,Bobby Brown,2004,2007,59,2082,381,868,216,418,165,450,157,195,27,128,155,287,77,6,201,1084,9584
35,Bobby Portis,2014,2015,36,1076,250,466,236,436,14,30,115,156,133,188,321,42,39,50,56,629,12340
36,Bradley Beal,2011,2012,37,1267,175,393,112,207,63,186,133,173,50,199,249,83,51,31,79,546,9353
